gxa_property_name	occurrences_in_contrasts	contrast_property_types	example_values	example_urls	example_accessions	current_handling_or_gap	candidate_inference_field
medium donor	4	SAMPLE:4	P1; P1 vs P1	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-7472/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-7472/Results	E-MTAB-7472; E-MTAB-7472	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
rna interference	4	FACTOR:4	miR-30a-3p siRNA duplex vs none; TIA-1 and TIAR siRNA vs control siRNA; TIA-1 siRNA vs control siRNA	https://www.ebi.ac.uk/gxa/experiments/E-MEXP-456/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-93/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-93/Results	E-MEXP-456; E-MTAB-93; E-MTAB-93	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
sample included in analysis	4	SAMPLE:4	sample OK, sample rejected vs sample OK, sample rejected	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-21374/Results	E-GEOD-21374	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
survival time	4	FACTOR:3; SAMPLE:1	long vs short; 28 month, 23 month, 6 month, 9 month, 7 month, 15 month, 25 month, 52 month, 17 month, 22 month, 12 month, 19 month, 29 month, 30 month, 10 month, 24 month, 5 month, 14 month, 8 month, 59 month, 36 month, 11 month, 16 month, 26 month, 3 month, 46 month, 56 month vs 23 month, 4 month, 33 month, 9 month, 24 month, 5 month, 14 month, 1 month, 7 month, 8 month, 15 month, 11 month, 16 month, 26 month	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-28571/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-7696/Results	E-GEOD-28571; E-GEOD-7696	FACTOR values are preserved in variableMeasured/measurementDenominator context; SAMPLE values are structured as sample.additionalProperty. observationPeriod remains a possible future refinement.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty; observationPeriod.name
time from biopsy to failure/censoring days	4	SAMPLE:4	192, 175, 155, 375, 254, 650, 596, 476, 731, 577, 776, 90, 216, 777, 75, 10, 141, 321, 168, 146, 642, 225, 105, 127, 623, 469, 8, 81, 229, 902 vs 907, 1185, 1581, 1182, 1181, 592, 353, 1612, 595, 113, 477, 873, 1179, 1696, 1454, 511, 1574, 633, 1331, 636, 638, 639, 1110, 1076, 1590, 361, 362, 1503, 1502, 1106, 881, 882, 762, 884, 643, 1068, 766, 524, 887, 768, 802, 527, 1505, 928, 22, 1084, 1480, 492, 494, 650, 1359, 652, 773, 411, 1355, 1234, 1475, 259, 1112, 777, 1078, 656, 811, 658, 779, 659, 936, 817, 819, 39, 1011, 1374, 1251, 1097, 1491, 142, 144, 421, 543, 664, 1124, 820, 545, 1244, 700, 547, 702, 427, 669, 945, 307, 704, 827, 1022, 1143, 392, 1414, 551, 310, 1138, 399, 1258, 951, 797, 1531, 435, 1497, 1254, 1650, 712, 833, 52, 1550, 1152, 1393, 1030, 282, 680, 442, 1302, 1148, 323, 566, 844, 965, 967, 209, 727, 606, 1440, 1560, 1283, 693, 694, 453, 1435, 454, 575, 697, 698, 1036, 1035, 1277, 1430, 579, 1276, 854, 613, 979, 79, 1176, 1051, 1171, 1170, 583, 1602, 1206, 981, 1323, 466, 104, 1167, 746, 109, 508, 905, 1603; 15, 171, 273, 264, 364, 298, 464, 585, 322, 740, 246, 357, 456, 413, 237, 226, 502, 238, 1045, 954, 658 vs 590, 670, 197, 1216, 673, 630, 1411, 1410, 599, 557, 437, 516, 837, 719, 1154, 1153, 2, 1588, 1389, 523, 605, 606, 1165, 1440, 1240, 1360, 697, 379, 775, 1156, 655, 811, 659, 539, 1439, 1559, 1093, 581, 1327, 341, 463, 1367, 741, 1322, 1002, 1288, 1243, 546, 1441, 701, 901, 507, 708; 590, 670, 197, 1216, 673, 630, 1411, 1410, 599, 557, 437, 516, 837, 719, 1154, 1153, 2, 1588, 1389, 523, 605, 606, 1165, 1440, 1240, 1360, 697, 379, 775, 1156, 655, 811, 659, 539, 1439, 1559, 1093, 581, 1327, 341, 463, 1367, 741, 1322, 1002, 1288, 1243, 546, 1441, 701, 901, 507, 708 vs 907, 1185, 1581, 1182, 1181, 592, 353, 1612, 595, 113, 477, 873, 1179, 1696, 1454, 511, 1574, 633, 1331, 636, 638, 639, 1110, 1076, 1590, 361, 362, 1503, 1502, 1106, 881, 882, 762, 884, 643, 1068, 766, 524, 887, 768, 802, 527, 1505, 928, 22, 1084, 1480, 492, 494, 650, 1359, 652, 773, 411, 1355, 1234, 1475, 259, 1112, 777, 1078, 656, 811, 658, 779, 659, 936, 817, 819, 39, 1011, 1374, 1251, 1097, 1491, 142, 144, 421, 543, 664, 1124, 820, 545, 1244, 700, 547, 702, 427, 669, 945, 307, 704, 827, 1022, 1143, 392, 1414, 551, 310, 1138, 399, 1258, 951, 797, 1531, 435, 1497, 1254, 1650, 712, 833, 52, 1550, 1152, 1393, 1030, 282, 680, 442, 1302, 1148, 323, 566, 844, 965, 967, 209, 727, 606, 1440, 1560, 1283, 693, 694, 453, 1435, 454, 575, 697, 698, 1036, 1035, 1277, 1430, 579, 1276, 854, 613, 979, 79, 1176, 1051, 1171, 1170, 583, 1602, 1206, 981, 1323, 466, 104, 1167, 746, 109, 508, 905, 1603	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-21374/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-21374/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-21374/Results	E-GEOD-21374; E-GEOD-21374; E-GEOD-21374	FACTOR values are preserved in variableMeasured/measurementDenominator context; SAMPLE values are structured as sample.additionalProperty. observationPeriod remains a possible future refinement.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty; observationPeriod.name
RNA integrity number	3	SAMPLE:3	8.6, 7.7, 9.5, 7.8, 8.7, 6.9, 9.6, 8.8, 7.9, 9.7, 8.9, 9.8, 10, 1, 8, 9, 6.1, 7.1, 6.2, 8.1, 7.2, 9.1, 8.2, 7.3, 6.4, 8.3, 9.2, 7.4, 9.3, 7.5, 8.4, 9.4, 8.5, 7.6, 4.9 vs 8.6, 7.7, 6.8, 9.5, 7.8, 6.9, 8.7, 9.6, 8.8, 7.9, 9.7, 8.9, 9.8, 10, 1, 7, 8, 9, 7.1, 7.2, 8.1, 6.3, 8.2, 7.3, 9.1, 9.2, 8.3, 7.4, 8.4, 9.3, 7.5, 6.6, 7.6, 8.5, 9.4; 8.6, 7.7, 9.5, 7.8, 8.7, 6.9, 9.6, 8.8, 7.9, 9.7, 8.9, 9.8, 10, 1, 8, 9, 6.1, 7.1, 6.2, 8.1, 7.2, 9.1, 8.2, 7.3, 6.4, 8.3, 9.2, 7.4, 9.3, 7.5, 8.4, 9.4, 8.5, 7.6, 4.9 vs 9.5, 8.6, 6.8, 8.7, 7.8, 8.8, 7.9, 8.9, 8, 9, 8.1, 7.2, 8.2, 9.1, 7.3, 9.2, 8.3, 7.4, 8.4, 9.3, 7.5, 8.5, 9.4, 10; 8.6, 7.7, 6.8, 9.5, 7.8, 6.9, 8.7, 9.6, 8.8, 7.9, 9.7, 8.9, 9.8, 10, 1, 7, 8, 9, 7.1, 7.2, 8.1, 6.3, 8.2, 7.3, 9.1, 9.2, 8.3, 7.4, 8.4, 9.3, 7.5, 6.6, 7.6, 8.5, 9.4 vs 9.5, 8.6, 6.8, 8.7, 7.8, 8.8, 7.9, 8.9, 8, 9, 8.1, 7.2, 8.2, 9.1, 7.3, 9.2, 8.3, 7.4, 8.4, 9.3, 7.5, 8.5, 9.4, 10	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-102008/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-102008/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-102008/Results	E-GEOD-102008; E-GEOD-102008; E-GEOD-102008	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
age at onset	3	SAMPLE:3	age at onset 11 years, age at onset 21 years, age at onset 7 years, age at onset 13 years, age at onset 48 years, age at onset 23 years, age at onset 9 years, age at onset 28 years, age at onset 44 years, age at onset 38 years, age at onset 18 years, age at onset 4 years, age at onset 25 years, age at onset 35 years, age at onset 15 years, not available, age at onset 6 years, age at onset 45 years, age at onset 22 years, age at onset 32 years, age at onset 42 years, age at onset 75 years, age at onset 40 years, age at onset 50 years, age at onset 12 years, age at onset 8 years, age at onset 30 years, age at onset 1 years, age at onset 57 years, age at onset 17 years, age at onset 47 years, age at onset 10 years, age at onset 3 years, age at onset 19 years, age at onset 20 years, age at onset 14 years, age at onset 34 years, age at onset 43 years, age at onset 33 years, age at onset 39 years, age at onset 5 years, age at onset 51 years, age at onset 41 years, age at onset 26 years, age at onset 2 years, age at onset 16 years vs not applicable; not applicable vs not applicable	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-102008/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-102008/Results	E-GEOD-102008; E-GEOD-102008	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
biosourceprovider	3	SAMPLE:3	breast tumors were excised from women at the Rene Huguenin Hospital (Saint-Cloud, France) from 1978 to 2008 vs breast tumors were excised from women at the Rene Huguenin Hospital (Saint-Cloud, France) from 1978 to 2008; Charles River vs Charles River; The Scripps Research Institute, La Jolla, California, USA vs The Scripps Research Institute, La Jolla, California, USA	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-22035/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-25515/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-698/Results	E-GEOD-22035; E-GEOD-25515; E-MTAB-698	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
bmi	3	SAMPLE:3	BMI more than 30 vs BMI less than 25; 26.1, 28, 29.6, 28.6, 27.6, 28.4, 27.1, 30.9 vs 26.1, 28, 29.6, 28.6, 27.6, 28.4, 30.9, 27.1; 26.8, 26.7, 28.4, 29.3, 27.5, 29.2, 27.3, 29.1 vs 26.8, 26.7, 28.4, 27.5, 29.3, 29.2, 27.3, 29.1	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-44000/Results; https://www.ebi.ac.uk/gxa/experiments/E-TABM-740/Results; https://www.ebi.ac.uk/gxa/experiments/E-TABM-740/Results	E-GEOD-44000; E-TABM-740; E-TABM-740	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
developmentalstage	3	SAMPLE:3	3rd instar larva vs 3rd instar larva; adult vs adult	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-1066/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-698/Results	E-MTAB-1066; E-MTAB-698	Variant spelling normalized to developmental stage for crawler matching.	sample.developmentalStage.name
disease duration	3	SAMPLE:3	disease duration 49 years, disease duration 52 years, disease duration 29 years, disease duration 39 years, disease duration 32 years, disease duration 7 years, disease duration 22 years, disease duration 12 years, disease duration 16 years, disease duration 26 years, disease duration 36 years, disease duration 46 years, disease duration 55 years, disease duration 4 years, disease duration 13 years, disease duration 43 years, disease duration 23 years, disease duration 25 years, disease duration 51 years, disease duration 11 years, disease duration 31 years, disease duration 8 years, disease duration 17 years, disease duration 37 years, disease duration 57 years, disease duration 34 years, disease duration 14 years, disease duration 24 years, disease duration 5 years, disease duration 2 years, disease duration 30 years, disease duration 20 years, disease duration 38 years, disease duration 1 years, not available, disease duration 10 years, disease duration 18 years, disease duration 9 years, disease duration 28 years, disease duration 33 years, disease duration 6 years, disease duration 15 years, disease duration 35 years, disease duration 41 years, disease duration 27 years, disease duration 3 years, disease duration 21 years, disease duration 19 years, disease duration 44 years, disease duration 0 years vs not applicable; not applicable vs not applicable	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-102008/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-102008/Results	E-GEOD-102008; E-GEOD-102008	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
fds score	3	SAMPLE:3	FDS score 5, FDS score 6, FDS score 2.5, FDS score 3, FDS score 4, FDS score 3.5, FDS score 4.5, FDS score 1, FDS score 5.5, FDS score 2, not available, FDS score 1.5 vs not applicable; not applicable vs not applicable	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-102008/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-102008/Results	E-GEOD-102008; E-GEOD-102008	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
pidn	3	SAMPLE:3	4848, 4841, 4721, 4842, 4722, 4723, 4844, 4724, 4846, 4860, 4859, 1, 2, 4, 5, 6, 7, 4972, 8, 9, 4973, 4856, 4750, 4871, 4628, 4749, 4507, 4508, 4629, 4509, 4741, 4862, 4621, 4500, 4501, 4743, 4502, 4744, 4623, 4746, 4505, 4627, 4506, 4869, 4640, 4641, 4639, 4632, 4754, 4634, 4513, 4755, 4756, 4635, 4636, 4757, 4516, 4759, 4770, 4891, 4771, 4650, 4530, 4772, 4651, 4773, 4652, 4763, 4644, 4765, 4766, 4524, 4645, 4525, 4526, 4768, 4648, 4769, 4527, 4780, 4781, 4540, 4783, 4541, 4542, 4653, 4532, 4654, 4775, 4776, 4656, 4778, 4536, 4658, 4659, 4539, 4790, 4670, 4791, 4671, 4551, 4673, 4552, 4543, 4664, 4665, 4786, 4666, 4667, 4788, 4789, 4668, 4669, 4680, 4560, 4682, 4561, 4683, 4200, 4442, 4684, 4685, 4443, 4554, 4675, 4676, 4555, 4677, 4556, 4678, 4559, 4571, 4572, 4451, 4452, 4454, 4575, 6509, 4444, 4687, 4445, 4446, 4448, 4449, 4582, 4583, 4584, 4221, 4100, 4585, 4222, 4576, 4578, 4579, 6517, 4590, 4591, 4230, 4593, 4594, 4595, 4232, 4111, 4233, 4596, 4597, 4234, 4224, 6523, 4588, 4226, 4227, 4228, 4229, 4241, 4242, 4236, 6413, 4117, 4491, 4250, 4492, 4493, 4253, 4496, 4254, 4255, 4497, 4498, 4246, 4249, 200, 203, 4257, 4499, 4258, 4259, 209, 4030, 4032, 4034, 210, 214, 215, 216, 4028, 6206, 4041, 4042, 4043, 4044, 104, 105, 4037, 107, 108, 4051, 6351, 4052, 4053, 6355, 6354, 230, 231, 233, 113, 114, 236, 115, 237, 239, 118, 6106, 4049, 6108, 6107, 11, 4183, 12, 4184, 6243, 4064, 6001, 13, 4185, 6363, 4186, 4065, 14, 15, 4066, 6245, 16, 4188, 4068, 6004, 4069, 240, 4181, 241, 4182, 242, 244, 245, 249, 6119, 6118, 20, 21, 22, 4194, 4195, 23, 4074, 24, 4075, 4196, 4076, 4077, 4198, 26, 4199, 27, 29, 4070, 130, 4192, 4193, 253, 254, 134, 255, 136, 6248, 31, 33, 34, 35, 4086, 37, 38, 4080, 4081, 6261, 141, 144, 145, 146, 147, 40, 41, 42, 4095, 44, 6031, 46, 48, 49, 4090, 150, 272, 151, 4092, 152, 153, 154, 276, 156, 157, 278, 159, 50, 51, 55, 56, 57, 58, 59, 6048, 160, 281, 282, 161, 162, 163, 169, 62, 63, 65, 66, 6054, 67, 6056, 68, 69, 6055, 6058, 6059, 171, 6052, 71, 72, 78, 180, 182, 6060, 185, 188, 189, 85, 86, 87, 88, 6196, 6199, 191, 194, 196, 199, 90, 6086, 4805, 4806, 4808, 4801, 4803, 4815, 4817, 4811, 4813, 4814, 4820, 4825, 4716, 4717, 4718, 4830, 4831, 4711, 4712, 4833, 4713, 4835, 4714, 4715 vs 6472, 6350, 6471, 6353, 6478, 6235, 6470, 184_mom, 6226, 6468, 6349, 6228, 6241, 6240, 6361, 6485, 6124, 6244, 6123, 6365, 6126, 6125, 6360, 6479, 6494, 6493, 6251, 6253, 6135, 6256, 6016, 6257, 6136, 6015, 6371, 6007, 6128, 6009, 6008, 6129, 6142, 6263, 6023, 6144, 6143, 6146, 6024, 6266, 6145, 6027, 6269, 6268, 6147, 6260, 6019, 4044_fa, 6153, 6273, 6152, 6276, 6034, 6275, 6154, 6036, 6157, 6278, 6035, 6277, 6038, 6158, 6037, 6151, 6272, 6150, 6271, 6708, 6707, 6709, 6149, 6706, 6705, 6285, 6284, 6042, 6166, 6045, 6044, 6286, 6289, 6047, 6167, 6046, 6049, 6280, 6283, 6040, 6282, 6039, 6296, 6175, 6295, 6177, 6298, 6297, 6179, 6178, 6290, 6292, 6291, 6294, 6173, 6051, 6293, 6186, 6065, 6185, 6067, 6188, 6187, 6069, 6068, 6189, 6180, 6182, 6061, 6181, 6184, 6063, 6062, 6183, 6075, 6078, 6198, 6079, 6510, 6191, 6070, 6190, 6193, 6192, 6071, 6195, 6074, 6194, 6506, 6508, 6089, 6088, 6522, 6521, 6081, 6080, 6082, 6513, 6515, 6519, 6518, 6098, 6410, 6092, 6094, 6093, 6421, 6300, 4044_mo, 6417, 6419, LM, 6430, 6432, 6310, 6431, 6433, 6312, 6304, 6429, 6428, 6440, 6322, 6200, 6442, 6324, 6203, 6445, 6202, 6323, 6314, 6317, 6316, 6437, 6439, 6210, 6330, 6333, 6453, 6332, 6214, 6335, 6334, 6213, 6205, 6325, 6204, 6446, 6207, 6328, 6327, 6448, 6208, 6340, 6461, 6102, 6464, 6222, 6225, 6467, 6346, 6466, 6103, 6337, 6458, 6215, 6336, 6218, 6338, 6219; 4848, 4841, 4721, 4842, 4722, 4723, 4844, 4724, 4846, 4860, 4859, 1, 2, 4, 5, 6, 7, 4972, 8, 9, 4973, 4856, 4750, 4871, 4628, 4749, 4507, 4508, 4629, 4509, 4741, 4862, 4621, 4500, 4501, 4743, 4502, 4744, 4623, 4746, 4505, 4627, 4506, 4869, 4640, 4641, 4639, 4632, 4754, 4634, 4513, 4755, 4756, 4635, 4636, 4757, 4516, 4759, 4770, 4891, 4771, 4650, 4530, 4772, 4651, 4773, 4652, 4763, 4644, 4765, 4766, 4524, 4645, 4525, 4526, 4768, 4648, 4769, 4527, 4780, 4781, 4540, 4783, 4541, 4542, 4653, 4532, 4654, 4775, 4776, 4656, 4778, 4536, 4658, 4659, 4539, 4790, 4670, 4791, 4671, 4551, 4673, 4552, 4543, 4664, 4665, 4786, 4666, 4667, 4788, 4789, 4668, 4669, 4680, 4560, 4682, 4561, 4683, 4200, 4442, 4684, 4685, 4443, 4554, 4675, 4676, 4555, 4677, 4556, 4678, 4559, 4571, 4572, 4451, 4452, 4454, 4575, 6509, 4444, 4687, 4445, 4446, 4448, 4449, 4582, 4583, 4584, 4221, 4100, 4585, 4222, 4576, 4578, 4579, 6517, 4590, 4591, 4230, 4593, 4594, 4595, 4232, 4111, 4233, 4596, 4597, 4234, 4224, 6523, 4588, 4226, 4227, 4228, 4229, 4241, 4242, 4236, 6413, 4117, 4491, 4250, 4492, 4493, 4253, 4496, 4254, 4255, 4497, 4498, 4246, 4249, 200, 203, 4257, 4499, 4258, 4259, 209, 4030, 4032, 4034, 210, 214, 215, 216, 4028, 6206, 4041, 4042, 4043, 4044, 104, 105, 4037, 107, 108, 4051, 6351, 4052, 4053, 6355, 6354, 230, 231, 233, 113, 114, 236, 115, 237, 239, 118, 6106, 4049, 6108, 6107, 11, 4183, 12, 4184, 6243, 4064, 6001, 13, 4185, 6363, 4186, 4065, 14, 15, 4066, 6245, 16, 4188, 4068, 6004, 4069, 240, 4181, 241, 4182, 242, 244, 245, 249, 6119, 6118, 20, 21, 22, 4194, 4195, 23, 4074, 24, 4075, 4196, 4076, 4077, 4198, 26, 4199, 27, 29, 4070, 130, 4192, 4193, 253, 254, 134, 255, 136, 6248, 31, 33, 34, 35, 4086, 37, 38, 4080, 4081, 6261, 141, 144, 145, 146, 147, 40, 41, 42, 4095, 44, 6031, 46, 48, 49, 4090, 150, 272, 151, 4092, 152, 153, 154, 276, 156, 157, 278, 159, 50, 51, 55, 56, 57, 58, 59, 6048, 160, 281, 282, 161, 162, 163, 169, 62, 63, 65, 66, 6054, 67, 6056, 68, 69, 6055, 6058, 6059, 171, 6052, 71, 72, 78, 180, 182, 6060, 185, 188, 189, 85, 86, 87, 88, 6196, 6199, 191, 194, 196, 199, 90, 6086, 4805, 4806, 4808, 4801, 4803, 4815, 4817, 4811, 4813, 4814, 4820, 4825, 4716, 4717, 4718, 4830, 4831, 4711, 4712, 4833, 4713, 4835, 4714, 4715 vs 6230, 6155, 6232, 6231, 6352, 6234, 6233, 6159, 6511, 6357, 6356, 6391, 6270, 6030, 6393, 6348, 6469, 6347, 6229, 6503, 6507, 6163, 6242, 6443, 6520, 6486, 6444, 6246, 6488, 6160, 6162, 6481, 6161, 6238, 6436, 6358, 6438, 6514, 6239, 6516, 6252, 6450, 6131, 6097, 6452, 6012, 6011, 6451, 6176, 6014, 6454, 6212, 6211, 6258, 6137, 6411, 6499, 6455, 6490, 6492, 6250, 6370, 6095, 6491, 6249, 6127, 6449, 6460, 6141, 6262, 6100, 6463, 6265, 6264, 6462, 6267, 6344, 6465, 6101, 6420, 6148, 6104, 6500, 6345, 6414, 6018, 6017, 6259, 6457; 6472, 6350, 6471, 6353, 6478, 6235, 6470, 184_mom, 6226, 6468, 6349, 6228, 6241, 6240, 6361, 6485, 6124, 6244, 6123, 6365, 6126, 6125, 6360, 6479, 6494, 6493, 6251, 6253, 6135, 6256, 6016, 6257, 6136, 6015, 6371, 6007, 6128, 6009, 6008, 6129, 6142, 6263, 6023, 6144, 6143, 6146, 6024, 6266, 6145, 6027, 6269, 6268, 6147, 6260, 6019, 4044_fa, 6153, 6273, 6152, 6276, 6034, 6275, 6154, 6036, 6157, 6278, 6035, 6277, 6038, 6158, 6037, 6151, 6272, 6150, 6271, 6708, 6707, 6709, 6149, 6706, 6705, 6285, 6284, 6042, 6166, 6045, 6044, 6286, 6289, 6047, 6167, 6046, 6049, 6280, 6283, 6040, 6282, 6039, 6296, 6175, 6295, 6177, 6298, 6297, 6179, 6178, 6290, 6292, 6291, 6294, 6173, 6051, 6293, 6186, 6065, 6185, 6067, 6188, 6187, 6069, 6068, 6189, 6180, 6182, 6061, 6181, 6184, 6063, 6062, 6183, 6075, 6078, 6198, 6079, 6510, 6191, 6070, 6190, 6193, 6192, 6071, 6195, 6074, 6194, 6506, 6508, 6089, 6088, 6522, 6521, 6081, 6080, 6082, 6513, 6515, 6519, 6518, 6098, 6410, 6092, 6094, 6093, 6421, 6300, 4044_mo, 6417, 6419, LM, 6430, 6432, 6310, 6431, 6433, 6312, 6304, 6429, 6428, 6440, 6322, 6200, 6442, 6324, 6203, 6445, 6202, 6323, 6314, 6317, 6316, 6437, 6439, 6210, 6330, 6333, 6453, 6332, 6214, 6335, 6334, 6213, 6205, 6325, 6204, 6446, 6207, 6328, 6327, 6448, 6208, 6340, 6461, 6102, 6464, 6222, 6225, 6467, 6346, 6466, 6103, 6337, 6458, 6215, 6336, 6218, 6338, 6219 vs 6230, 6155, 6232, 6231, 6352, 6234, 6233, 6159, 6511, 6357, 6356, 6391, 6270, 6030, 6393, 6348, 6469, 6347, 6229, 6503, 6507, 6163, 6242, 6443, 6520, 6486, 6444, 6246, 6488, 6160, 6162, 6481, 6161, 6238, 6436, 6358, 6438, 6514, 6239, 6516, 6252, 6450, 6131, 6097, 6452, 6012, 6011, 6451, 6176, 6014, 6454, 6212, 6211, 6258, 6137, 6411, 6499, 6455, 6490, 6492, 6250, 6370, 6095, 6491, 6249, 6127, 6449, 6460, 6141, 6262, 6100, 6463, 6265, 6264, 6462, 6267, 6344, 6465, 6101, 6420, 6148, 6104, 6500, 6345, 6414, 6018, 6017, 6259, 6457	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-102008/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-102008/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-102008/Results	E-GEOD-102008; E-GEOD-102008; E-GEOD-102008	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
strainorline	3	SAMPLE:3	Oregon R; C57BL/6J vs C57BL/6J	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-1066/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-698/Results	E-MTAB-1066; E-MTAB-698	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
body weight	2	SAMPLE:2	20 to 25 gram vs 20 to 25 gram	https://www.ebi.ac.uk/gxa/experiments/E-TABM-709/Results	E-TABM-709	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
disease state	2	FACTOR:1; SAMPLE:1	no explicit value in contrast JSON; no explicit value in contrast JSON	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-31013/Results; https://www.ebi.ac.uk/gxa/experiments/E-MEXP-2730/Results	E-GEOD-31013; E-MEXP-2730	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
donor type	2	SAMPLE:2	dead donor vs none; living donor, dead donor vs none	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-1563/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-1563/Results	E-GEOD-1563; E-GEOD-1563	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
histopathology	2	FACTOR:2	normal vs normal	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-1563/Results	E-GEOD-1563	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
last follow up	2	SAMPLE:2	not available vs not available; 0.942 year, 1.732 year, 0.09 year, 5.342 year, 1.658 year, 2.011 year, 0.121 year, 2.068 year, 2.781 year, 0.899 year, 12.468 year, not available year, 0.619 year, 0.477 year, 1.233 year, 8.868 year, 4.753 year, 1.203 year, 4.334 year, 0.775 year, 0.625 year, 2.721 year, 2.233 year, 1.512 year, 0.364 year vs not available	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10927/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10927/Results	E-GEOD-10927; E-GEOD-10927	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
mitotic rate	2	SAMPLE:2	55, 33, 44, 45, 56, 57, 25, 59, 48, 38, 49, 28, 71, 62, 51, 52, 64, 54, 32 vs 55, 44, 78, 58, 28, 71, 41, 32; 33, 55, 77, 45, 34, 35, 47, 25, 48, 49, 39, 19, 71, 60, <10, 61, 50, 51, 40, 52, 41, 31, 87, 32 vs 55, 44, 78, 58, 28, 71, 41, 32	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10927/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10927/Results	E-GEOD-10927; E-GEOD-10927	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
